order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,3,1,7218,7218
2,1,10,2,15153,30306
3,2,5,1,650,650
4,2,2,2,38685,77370
5,2,11,1,1486,1486
6,3,14,1,35498,35498
7,3,1,1,15634,15634
8,3,7,2,24792,49584
9,4,13,3,37479,112437
10,5,7,2,24792,49584
11,5,5,1,650,650
12,5,10,1,15153,15153
13,6,4,1,4502,4502
14,7,3,1,7218,7218
15,8,4,2,4502,9004
16,8,15,1,18482,18482
17,8,11,3,1486,4458
18,9,8,1,34634,34634
19,10,13,3,37479,112437
20,10,16,3,3369,10107
21,10,12,2,4285,8570
22,10,8,3,34634,103902
23,11,11,3,1486,4458
24,11,12,2,4285,8570
25,11,9,1,25644,25644
26,11,15,3,18482,55446
27,12,6,2,32165,64330
28,12,13,1,37479,37479
29,12,11,1,1486,1486
30,13,11,2,1486,2972
31,13,6,2,32165,64330
32,14,6,3,32165,96495
33,14,14,1,35498,35498
34,14,10,1,15153,15153
35,15,4,1,4502,4502
36,16,4,1,4502,4502
37,16,10,2,15153,30306
38,16,5,1,650,650
39,17,12,2,4285,8570
40,17,14,2,35498,70996
41,17,16,2,3369,6738
42,18,8,2,34634,69268
43,18,1,2,15634,31268
44,18,9,1,25644,25644
45,18,16,1,3369,3369
46,19,5,2,650,1300
47,19,12,3,4285,12855
48,19,8,1,34634,34634
49,20,3,2,7218,14436
50,20,10,1,15153,15153
51,20,11,2,1486,2972
52,20,1,2,15634,31268
53,21,13,3,37479,112437
54,21,9,3,25644,76932
55,21,10,3,15153,45459
56,22,15,1,18482,18482
57,22,15,3,18482,55446
58,22,6,1,32165,32165
59,22,13,3,37479,112437
60,23,15,1,18482,18482
61,23,3,3,7218,21654
62,24,13,1,37479,37479
63,24,1,3,15634,46902
64,25,2,3,38685,116055
65,25,4,1,4502,4502
66,25,3,2,7218,14436
67,25,12,3,4285,12855
68,26,4,3,4502,13506
69,26,4,1,4502,4502
70,27,8,2,34634,69268
71,28,16,1,3369,3369
72,28,8,2,34634,69268
73,28,10,2,15153,30306
74,28,7,3,24792,74376
75,29,1,3,15634,46902
76,29,16,3,3369,10107
77,29,16,1,3369,3369
78,29,7,2,24792,49584
79,30,5,1,650,650
80,30,16,3,3369,10107
81,31,8,1,34634,34634
82,31,5,3,650,1950
83,31,7,2,24792,49584
84,32,2,3,38685,116055
85,32,3,1,7218,7218
86,32,10,1,15153,15153
87,32,3,3,7218,21654
88,33,11,1,1486,1486
89,33,10,2,15153,30306
90,34,2,1,38685,38685
91,34,15,2,18482,36964
92,34,15,2,18482,36964
93,35,8,1,34634,34634
94,35,12,3,4285,12855
95,35,11,2,1486,2972
96,36,9,2,25644,51288
97,37,16,2,3369,6738
98,37,15,2,18482,36964
99,37,15,1,18482,18482
100,38,8,1,34634,34634
101,38,7,2,24792,49584
102,39,7,3,24792,74376
103,39,9,1,25644,25644
104,39,9,2,25644,51288
105,40,16,1,3369,3369
106,40,1,3,15634,46902
107,40,6,3,32165,96495
108,41,5,1,650,650
109,42,8,1,34634,34634
110,42,8,3,34634,103902
111,42,1,2,15634,31268
112,43,6,2,32165,64330
113,43,11,2,1486,2972
114,44,4,3,4502,13506
115,45,9,2,25644,51288
116,45,2,3,38685,116055
117,45,3,1,7218,7218
118,46,9,3,25644,76932
119,46,13,1,37479,37479
120,46,8,2,34634,69268
121,47,6,1,32165,32165
122,47,11,3,1486,4458
123,47,1,3,15634,46902
124,48,2,3,38685,116055
125,48,16,2,3369,6738
126,48,4,1,4502,4502
127,48,6,3,32165,96495
128,49,3,1,7218,7218
129,49,6,1,32165,32165
130,50,13,1,37479,37479
131,50,14,2,35498,70996
132,50,12,2,4285,8570
133,50,10,1,15153,15153
134,51,7,3,24792,74376
135,51,6,3,32165,96495
136,52,2,2,38685,77370
137,52,11,1,1486,1486
138,52,1,2,15634,31268
139,53,3,3,7218,21654
140,53,12,1,4285,4285
141,53,4,3,4502,13506
142,53,5,3,650,1950
143,54,11,3,1486,4458
144,55,8,2,34634,69268
145,55,3,1,7218,7218
146,55,2,1,38685,38685
147,55,6,2,32165,64330
148,56,14,2,35498,70996
149,56,8,2,34634,69268
150,56,5,1,650,650
151,57,5,2,650,1300
152,57,8,1,34634,34634
153,57,2,1,38685,38685
154,58,2,3,38685,116055
155,58,4,1,4502,4502
156,58,7,1,24792,24792
157,59,9,3,25644,76932
158,60,2,3,38685,116055
159,60,9,3,25644,76932
160,60,14,3,35498,106494
161,61,5,3,650,1950
162,61,1,2,15634,31268
163,62,16,1,3369,3369
164,62,10,2,15153,30306
165,62,1,1,15634,15634
166,62,7,1,24792,24792
167,63,5,1,650,650
168,64,4,1,4502,4502
169,64,15,2,18482,36964
170,64,13,3,37479,112437
171,64,5,1,650,650
172,65,11,1,1486,1486
173,66,3,2,7218,14436
174,66,5,1,650,650
175,67,12,2,4285,8570
176,67,11,2,1486,2972
177,67,10,2,15153,30306
178,68,5,1,650,650
179,68,9,1,25644,25644
180,69,5,3,650,1950
181,69,2,1,38685,38685
182,70,6,3,32165,96495
183,71,12,3,4285,12855
184,71,4,3,4502,13506
185,71,7,1,24792,24792
186,72,8,1,34634,34634
187,73,14,1,35498,35498
188,73,11,3,1486,4458
189,74,4,3,4502,13506
190,75,13,2,37479,74958
191,75,6,3,32165,96495
192,75,15,3,18482,55446
193,76,11,2,1486,2972
194,76,13,1,37479,37479
195,77,12,1,4285,4285
196,77,16,1,3369,3369
197,77,10,3,15153,45459
198,78,9,2,25644,51288
199,78,1,2,15634,31268
200,79,4,3,4502,13506
201,80,14,1,35498,35498
202,80,16,3,3369,10107
203,81,9,3,25644,76932
204,82,4,2,4502,9004
205,83,16,1,3369,3369
206,83,12,1,4285,4285
207,83,7,1,24792,24792
208,83,12,1,4285,4285
209,84,2,2,38685,77370
210,85,16,2,3369,6738
211,85,11,2,1486,2972
212,85,7,2,24792,49584
213,86,14,3,35498,106494
214,86,6,1,32165,32165
215,87,15,3,18482,55446
216,88,7,1,24792,24792
217,89,9,3,25644,76932
218,89,13,1,37479,37479
219,89,3,3,7218,21654
220,90,15,3,18482,55446
221,90,11,2,1486,2972
222,90,7,3,24792,74376
223,90,16,2,3369,6738
224,91,12,2,4285,8570
225,91,16,2,3369,6738
226,92,2,2,38685,77370
227,93,7,1,24792,24792
228,93,4,2,4502,9004
229,94,11,1,1486,1486
230,94,12,1,4285,4285
231,94,7,3,24792,74376
232,95,1,2,15634,31268
233,95,3,1,7218,7218
234,96,9,2,25644,51288
235,97,6,1,32165,32165
236,97,4,2,4502,9004
237,98,5,1,650,650
238,98,16,3,3369,10107
239,98,3,3,7218,21654
240,98,1,2,15634,31268
241,99,13,3,37479,112437
242,100,5,1,650,650
243,101,9,3,25644,76932
244,102,2,1,38685,38685
